#miRNA	read_count
hsa-miR-1-3p	0
hsa-miR-1-5p	0
hsa-miR-1-3p	0
hsa-miR-10226	0
hsa-miR-10392-3p	0
hsa-miR-10393-5p	0
hsa-miR-10393-3p	0
hsa-miR-10394-5p	0
hsa-miR-10394-3p	0
hsa-miR-10395-5p	0
hsa-miR-10397-5p	0
hsa-miR-10397-3p	0
hsa-miR-10398-5p	0
hsa-miR-10398-3p	0
hsa-miR-103b	0
hsa-miR-103b	0
hsa-miR-10400-5p	0
hsa-miR-10400-3p	0
hsa-miR-10522-5p	0
hsa-miR-10524-5p	0
hsa-miR-10525-3p	0
hsa-miR-106a-3p	0
hsa-miR-11181-5p	0
hsa-miR-11181-3p	0
hsa-miR-11399	0
hsa-miR-11400	0
hsa-miR-11401	0
hsa-miR-1178-5p	0
hsa-miR-1178-3p	0
hsa-miR-1181	0
hsa-miR-1182	0
hsa-miR-1183	0
hsa-miR-1184	0
hsa-miR-1184	0
hsa-miR-1184	0
hsa-miR-1185-5p	0
hsa-miR-1185-5p	0
hsa-miR-1193	0
hsa-miR-1199-3p	0
hsa-miR-1200	0
hsa-miR-1202	0
hsa-miR-1203	0
hsa-miR-1204	0
hsa-miR-1205	0
hsa-miR-1206	0
hsa-miR-1207-5p	0
hsa-miR-1207-3p	0
hsa-miR-1208	0
hsa-miR-12113	0
hsa-miR-12115	0
hsa-miR-12116	0
hsa-miR-12117	0
hsa-miR-12118	0
hsa-miR-12119	0
hsa-miR-12120	0
hsa-miR-12121	0
hsa-miR-12122	0
hsa-miR-12123	0
hsa-miR-12124	0
hsa-miR-12126	0
hsa-miR-12127	0
hsa-miR-12128	0
hsa-miR-12129	0
hsa-miR-12130	0
hsa-miR-12131	0
hsa-miR-12132	0
hsa-miR-12133	0
hsa-miR-122-3p	0
hsa-miR-1224-3p	0
hsa-miR-1225-5p	0
hsa-miR-1225-3p	0
hsa-miR-1227-5p	0
hsa-miR-1227-3p	0
hsa-miR-1229-5p	0
hsa-miR-122b-3p	0
hsa-miR-1231	0
hsa-miR-1233-5p	0
hsa-miR-1233-5p	0
hsa-miR-1236-5p	0
hsa-miR-1238-5p	0
hsa-miR-124-5p	0
hsa-miR-124-3p	0
hsa-miR-124-5p	0
hsa-miR-124-3p	0
hsa-miR-124-5p	0
hsa-miR-124-3p	0
hsa-miR-1244	0
hsa-miR-1244	0
hsa-miR-1244	0
hsa-miR-1244	0
hsa-miR-1245a	0
hsa-miR-1245b-5p	0
hsa-miR-1245b-3p	0
hsa-miR-1247-5p	0
hsa-miR-1247-3p	0
hsa-miR-1250-5p	0
hsa-miR-1250-3p	0
hsa-miR-1251-5p	0
hsa-miR-1251-3p	0
hsa-miR-1253	0
hsa-miR-1255b-5p	0
hsa-miR-1255b-5p	0
hsa-miR-1255b-2-3p	0
hsa-miR-1258	0
hsa-miR-1261	0
hsa-miR-1263	0
hsa-miR-1264	0
hsa-miR-1265	0
hsa-miR-1266-3p	0
hsa-miR-1269b	0
hsa-miR-127-5p	0
hsa-miR-1273h-3p	0
hsa-miR-1279	0
hsa-miR-1281	0
hsa-miR-1282	0
hsa-miR-1289	0
hsa-miR-1289	0
hsa-miR-1290	0
hsa-miR-1295b-5p	0
hsa-miR-1295b-3p	0
hsa-miR-1297	0
hsa-miR-1298-5p	0
hsa-miR-1298-3p	0
hsa-miR-1299	0
hsa-miR-1301-5p	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1302	0
hsa-miR-1321	0
hsa-miR-1324	0
hsa-miR-133a-5p	0
hsa-miR-133a-5p	0
hsa-miR-134-3p	0
hsa-miR-135a-5p	0
hsa-miR-135a-3p	0
hsa-miR-135a-2-3p	0
hsa-miR-136-5p	0
hsa-miR-136-3p	0
hsa-miR-138-2-3p	0
hsa-miR-143-5p	0
hsa-miR-144-3p	0
hsa-miR-1468-3p	0
hsa-miR-1469	0
hsa-miR-1470	0
hsa-miR-1471	0
hsa-miR-147a	0
hsa-miR-147b-5p	0
hsa-miR-150-3p	0
hsa-miR-153-5p	0
hsa-miR-1539	0
hsa-miR-154-3p	0
hsa-miR-155-3p	0
hsa-miR-1587	0
hsa-miR-1825	0
hsa-miR-1827	0
hsa-miR-187-5p	0
hsa-miR-18b-3p	0
hsa-miR-190b-3p	0
hsa-miR-1910-3p	0
hsa-miR-1911-5p	0
hsa-miR-1911-3p	0
hsa-miR-1912-5p	0
hsa-miR-1912-3p	0
hsa-miR-1976	0
hsa-miR-198	0
hsa-miR-19b-2-5p	0
hsa-miR-200c-5p	0
hsa-miR-202-5p	0
hsa-miR-202-3p	0
hsa-miR-203a-5p	0
hsa-miR-203b-5p	0
hsa-miR-203b-3p	0
hsa-miR-205-3p	0
hsa-miR-2052	0
hsa-miR-2053	0
hsa-miR-2054	0
hsa-miR-206	0
hsa-miR-208a-5p	0
hsa-miR-208a-3p	0
hsa-miR-208b-5p	0
hsa-miR-20b-3p	0
hsa-miR-211-3p	0
hsa-miR-2115-5p	0
hsa-miR-2117	0
hsa-miR-214-5p	0
hsa-miR-215-3p	0
hsa-miR-216a-5p	0
hsa-miR-216a-3p	0
hsa-miR-216b-5p	0
hsa-miR-216b-3p	0
hsa-miR-217-5p	0
hsa-miR-217-3p	0
hsa-miR-218-2-3p	0
hsa-miR-223-5p	0
hsa-miR-223-3p	0
hsa-miR-2392	0
hsa-miR-2861	0
hsa-miR-2909	0
hsa-miR-297	0
hsa-miR-298	0
hsa-miR-300	0
hsa-miR-302a-5p	0
hsa-miR-302a-3p	0
hsa-miR-302b-5p	0
