#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-let-7a-5p	650384.00	hsa-let-7a-1	650384.00	650384.00	39668.39
hsa-let-7a-3p	2042.00	hsa-let-7a-1	2042.00	2042.00	124.55
hsa-let-7a-5p	651528.00	hsa-let-7a-2	651528.00	651528.00	39738.17
hsa-let-7a-2-3p	437.00	hsa-let-7a-2	437.00	437.00	26.65
hsa-let-7a-5p	650480.00	hsa-let-7a-3	650480.00	650480.00	39674.25
hsa-let-7a-3p	2032.00	hsa-let-7a-3	2032.00	2032.00	123.94
hsa-let-7b-5p	18921.00	hsa-let-7b	18921.00	18921.00	1154.03
hsa-let-7b-3p	1135.00	hsa-let-7b	1135.00	1135.00	69.23
hsa-let-7c-5p	1533.00	hsa-let-7c	1533.00	1533.00	93.50
hsa-let-7c-3p	11.00	hsa-let-7c	11.00	11.00	0.67
hsa-let-7d-5p	10041.00	hsa-let-7d	10041.00	10041.00	612.42
hsa-let-7d-3p	1776.00	hsa-let-7d	1776.00	1776.00	108.32
hsa-let-7e-5p	32071.00	hsa-let-7e	32071.00	32071.00	1956.08
hsa-let-7e-3p	290.00	hsa-let-7e	290.00	290.00	17.69
hsa-let-7f-5p	182643.00	hsa-let-7f-1	182643.00	182643.00	11139.81
hsa-let-7f-1-3p	402.00	hsa-let-7f-1	402.00	402.00	24.52
hsa-let-7f-5p	183023.00	hsa-let-7f-2	183023.00	183023.00	11162.99
hsa-let-7f-2-3p	700.00	hsa-let-7f-2	700.00	700.00	42.69
hsa-let-7g-5p	56453.00	hsa-let-7g	56453.00	56453.00	3443.20
hsa-let-7g-3p	181.00	hsa-let-7g	181.00	181.00	11.04
hsa-let-7i-5p	80803.00	hsa-let-7i	80803.00	80803.00	4928.36
hsa-let-7i-3p	630.00	hsa-let-7i	630.00	630.00	38.43
hsa-miR-1-3p	0.00	hsa-mir-1-1	0.00	0	0
hsa-miR-1-5p	0.00	hsa-mir-1-1	0.00	0	0
hsa-miR-1-3p	0.00	hsa-mir-1-2	0.00	0	0
hsa-miR-100-5p	1344447.00	hsa-mir-100	1344447.00	1344447.00	82000.87
hsa-miR-100-3p	29736.00	hsa-mir-100	29736.00	29736.00	1813.67
hsa-miR-101-5p	123.00	hsa-mir-101-1	123.00	123.00	7.50
hsa-miR-101-3p	35824.00	hsa-mir-101-1	35824.00	35824.00	2184.99
hsa-miR-101-3p	36368.00	hsa-mir-101-2	36368.00	36368.00	2218.17
hsa-miR-101-2-5p	11.00	hsa-mir-101-2	11.00	11.00	0.67
hsa-miR-10226	0.00	hsa-mir-10226	0.00	0	0
hsa-miR-10392-5p	5.00	hsa-mir-10392	5.00	5.00	0.30
